stage,epoch,train_loss,accuracy,precision_anemic,recall_anemic,f1_anemic,precision_non_anemic,recall_non_anemic,f1_non_anemic,roc_auc,n_samples
head,1,0.6999620766524809,0.4845360824742268,0.4845360824742268,1.0,0.6527777777777778,0.0,0.0,0.0,0.5748936170212766,97
head,2,0.6632290422677036,0.4845360824742268,0.4845360824742268,1.0,0.6527777777777778,0.0,0.0,0.0,0.6042553191489362,97
head,3,0.6276938209093239,0.4845360824742268,0.4845360824742268,1.0,0.6527777777777778,0.0,0.0,0.0,0.6272340425531915,97
head,4,0.6292760776707447,0.5670103092783505,0.5352112676056338,0.8085106382978723,0.6440677966101694,0.6538461538461539,0.34,0.4473684210526316,0.6217021276595744,97
head,5,0.6148885912205799,0.4639175257731959,0.47368421052631576,0.9574468085106383,0.6338028169014085,0.0,0.0,0.0,0.6004255319148937,97
head,6,0.6134445904249168,0.5670103092783505,0.5352112676056338,0.8085106382978723,0.6440677966101694,0.6538461538461539,0.34,0.4473684210526316,0.6357446808510638,97
head,7,0.608272786600044,0.4742268041237113,0.4791666666666667,0.9787234042553191,0.6433566433566433,0.0,0.0,0.0,0.6212765957446809,97
head,8,0.5872236679356739,0.5773195876288659,0.5416666666666666,0.8297872340425532,0.6554621848739496,0.68,0.34,0.4533333333333333,0.6182978723404255,97
finetune,9,0.5795118574157776,0.5876288659793815,0.5466666666666666,0.8723404255319149,0.6721311475409836,0.7272727272727273,0.32,0.4444444444444444,0.6357446808510638,97
finetune,10,0.5612275133649987,0.5979381443298969,0.5540540540540541,0.8723404255319149,0.6776859504132231,0.7391304347826086,0.34,0.4657534246575342,0.6544680851063829,97
finetune,11,0.560235447672955,0.5876288659793815,0.5466666666666666,0.8723404255319149,0.6721311475409836,0.7272727272727273,0.32,0.4444444444444444,0.6782978723404256,97
finetune,12,0.5416134794553121,0.6185567010309279,0.5694444444444444,0.8723404255319149,0.6890756302521008,0.76,0.38,0.5066666666666667,0.7327659574468085,97
finetune,13,0.5421735491139822,0.6288659793814433,0.5774647887323944,0.8723404255319149,0.6949152542372882,0.7692307692307693,0.4,0.5263157894736842,0.7191489361702128,97
finetune,14,0.5213354486059473,0.5979381443298969,0.5540540540540541,0.8723404255319149,0.6776859504132231,0.7391304347826086,0.34,0.4657534246575342,0.7191489361702128,97
finetune,15,0.5241408403139995,0.6494845360824743,0.5970149253731343,0.851063829787234,0.7017543859649122,0.7666666666666667,0.46,0.575,0.7302127659574468,97
finetune,16,0.5279067790651896,0.6391752577319587,0.5882352941176471,0.851063829787234,0.6956521739130435,0.7586206896551724,0.44,0.5569620253164557,0.7327659574468086,97
finetune,17,0.48002255118515597,0.6494845360824743,0.5970149253731343,0.851063829787234,0.7017543859649122,0.7666666666666667,0.46,0.575,0.7553191489361701,97
finetune,18,0.4892164919989176,0.6597938144329897,0.609375,0.8297872340425532,0.7027027027027027,0.7575757575757576,0.5,0.6024096385542169,0.754468085106383,97
finetune,19,0.4822676807761671,0.6597938144329897,0.6060606060606061,0.851063829787234,0.7079646017699115,0.7741935483870968,0.48,0.5925925925925926,0.7408510638297872,97
finetune,20,0.47203747000560226,0.6494845360824743,0.5970149253731343,0.851063829787234,0.7017543859649122,0.7666666666666667,0.46,0.575,0.7493617021276596,97
finetune,21,0.4746468020490853,0.6804123711340206,0.625,0.851063829787234,0.7207207207207207,0.7878787878787878,0.52,0.6265060240963856,0.7540425531914894,97
finetune,22,0.44469225921305305,0.7010309278350515,0.6451612903225806,0.851063829787234,0.7339449541284404,0.8,0.56,0.6588235294117647,0.7693617021276596,97
finetune,23,0.4524473881865122,0.6907216494845361,0.639344262295082,0.8297872340425532,0.7222222222222222,0.7777777777777778,0.56,0.6511627906976745,0.7595744680851064,97
finetune,24,0.44424579528919667,0.6907216494845361,0.6349206349206349,0.851063829787234,0.7272727272727273,0.7941176470588235,0.54,0.6428571428571429,0.7370212765957447,97
finetune,25,0.4496245623592392,0.6804123711340206,0.6212121212121212,0.8723404255319149,0.7256637168141593,0.8064516129032258,0.5,0.6172839506172839,0.7293617021276596,97
finetune,26,0.45277715231998855,0.7010309278350515,0.640625,0.8723404255319149,0.7387387387387387,0.8181818181818182,0.54,0.6506024096385542,0.7536170212765958,97
finetune,27,0.44576247293786353,0.6907216494845361,0.639344262295082,0.8297872340425532,0.7222222222222222,0.7777777777777778,0.56,0.6511627906976745,0.7536170212765957,97
finetune,28,0.4402757198456301,0.6907216494845361,0.6349206349206349,0.851063829787234,0.7272727272727273,0.7941176470588235,0.54,0.6428571428571429,0.7561702127659575,97
finetune,29,0.4189146879207657,0.6907216494845361,0.6349206349206349,0.851063829787234,0.7272727272727273,0.7941176470588235,0.54,0.6428571428571429,0.7485106382978723,97
finetune,30,0.41458877789447585,0.6701030927835051,0.6153846153846154,0.851063829787234,0.7142857142857143,0.78125,0.5,0.6097560975609756,0.745531914893617,97
