timestamp_ms,red,ir
0,217942,248355
40,217615,247730
80,217392,247592
120,217550,248161
160,217939,248861
200,217845,248422
240,217994,248932
280,217974,249035
320,217965,248969
360,218043,249107
400,218164,249531
440,218245,249755
480,218243,249582
520,217889,248890
560,217968,249016
600,217967,249078
640,218129,249234
680,217941,249092
720,217959,249305
760,217982,249372
800,217563,248301
840,217559,248572
880,217466,248574
920,217546,248640
960,217578,248752
1000,217649,249081
1040,217679,249165
1080,217778,249298
1120,217390,248526
1160,217675,249087
1200,217692,249051
1240,217604,248928
1280,217555,249066
1320,217574,249248
1360,217616,249047
1400,217229,248441
1440,217178,248561
1480,217225,248764
1520,217289,248864
1560,217435,249236
1600,217799,250044
1640,217798,249705
1680,217242,248735
1720,217230,248791
1760,217305,249065
1800,217408,249085
1840,217179,248812
1880,216919,248637
1920,217058,248765
1960,216505,247645
2000,216625,247975
2040,216538,247923
2080,216602,247933
2120,216755,248419
2160,216807,248603
2200,216887,248794
2240,216537,247733
2280,216645,248056
2320,216568,247969
2360,216562,247810
2400,216388,247807
2440,216575,248147
2480,216351,247866
2520,215774,246465
2560,215784,246881
2600,215695,246859
2640,215932,247097
2680,215642,246631
2720,216178,247941
2760,216236,247547
2800,215789,246641
2840,215632,246447
2880,214736,244712
2920,214713,244731
2960,214796,245222
3000,214958,245484
3040,214861,244887
3080,214430,244147
3120,214125,243687
3160,214209,244265
3200,214047,243588
3240,213664,243090
3280,213920,243749
3320,212839,241388
3360,213610,243156
3400,213926,243554
3440,214184,243886
3480,214265,244254
3520,214021,243909
3560,214378,244567
3600,213922,243459
3640,214174,244081
3680,214231,244122
3720,214276,244154
3760,214296,244487
3800,214632,245030
3840,214839,245398
3880,214529,244741
3920,214679,244963
3960,214791,245100
4000,214923,245454
4040,215253,246248
4080,215538,246625
4120,215243,245890
4160,215337,246342
4200,215297,246329
4240,215374,246381
4280,215202,246247
4320,215471,246863
4360,215596,247086
4400,215296,246287
4440,215730,247113
4480,215631,246881
4520,215658,246943
4560,215696,247251
4600,215943,247541
4640,215889,247800
4680,215680,247184
4720,215907,247779
4760,215957,247852
4800,216059,248060
4840,216128,248313
4880,216378,248712
4920,216410,248831
4960,216078,248117
5000,216458,248627
5040,216420,248698
5080,216321,248583
5120,216280,248461
5160,216361,248655
5200,216383,249079
5240,216008,248082
5280,216341,248669
5320,216231,248543
5360,216195,248500
5400,216280,248756
5440,216411,248932
5480,216472,249148
5520,216575,249102
5560,216325,248415
5600,216178,248300
5640,216137,248322
5680,216030,247985
5720,216060,248266
5760,216007,248430
5800,216129,248633
5840,215908,247850
5880,215876,247920
5920,215826,247909
5960,215901,247917
6000,215898,247988
6040,216083,248397
6080,216117,248367
6120,216106,248026
6160,215729,247492
6200,215707,247519
6240,215796,247518
6280,215760,247689
6320,215778,247911
6360,215954,248181
6400,216048,248404
6440,215628,247314
6480,215780,247453
6520,215671,247339
6560,215767,247329
6600,215739,247373
6640,215875,247506
6680,215766,247469
6720,215827,247531
6760,215481,246486
6800,215092,245913
6840,215148,246200
6880,215008,245880
6920,215217,246196
6960,215246,246322
7000,215176,246414
7040,215353,246152
7080,215126,245641
7120,215115,245665
7160,215043,245262
7200,215125,245399
7240,215073,245543
7280,215139,245667
7320,215006,244969
7360,214719,244525
7400,214702,244595
7440,214871,244811
7480,215128,244991
7520,215327,245584
7560,215408,245651
7600,215650,245878
7640,215136,244497
7680,215087,244317
7720,215132,244151
7760,215015,243908
7800,215060,244205
7840,215271,244414
7880,215223,244591
7920,215075,243855
7960,215024,243629
8000,215008,243388
8040,214979,243359
8080,214955,243369
8120,215185,243789
8160,215396,244221
8200,215610,244735
8240,215299,243454
8280,215308,243420
8320,215350,243639
8360,215344,243321
8400,215366,243690
8440,215588,244262
8480,215716,244500
8520,215765,244192
8560,215614,243736
8600,215667,243849
8640,215818,243927
8680,215790,243929
8720,216037,244413
8760,216185,244554
8800,216307,245112
8840,215864,243711
8880,215994,243761
8920,215935,243942
8960,216001,244042
9000,216119,244327
9040,216403,244870
9080,216518,245300
9120,216910,245927
9160,216423,244580
9200,216455,244646
9240,216603,244874
9280,216526,244683
9320,216671,245285
9360,216847,245577
9400,217020,246040
9440,216467,244817
9480,216590,244985
9520,217113,245912
9560,217005,245572
9600,217140,246026
9640,217314,246289
9680,217484,246507
9720,216921,245156
9760,217027,245130
9800,217068,245281
9840,216991,245186
9880,217181,245553
9920,217235,245827
9960,217273,245974
