feature_name,category,mean,std,min,max,missing_count,is_constant
age,Demographic,42.8676,13.5194,18.0,64.0,0,False
gender_encoded,Demographic,0.4412,0.5002,0.0,1.0,0,False
red_mean,Time-Domain Statistics,0.0,0.0,0.0,0.0,0,True
red_std,Time-Domain Statistics,1.0,0.0,1.0,1.0,0,True
red_var,Time-Domain Statistics,1.0,0.0,1.0,1.0,0,True
red_rms,Time-Domain Statistics,1.0,0.0,1.0,1.0,0,True
red_min,Time-Domain Statistics,-2.0446,0.3937,-3.4584,-1.4397,0,False
red_max,Time-Domain Statistics,2.19,0.4563,1.5328,3.9398,0,False
red_range,Time-Domain Statistics,4.2345,0.7095,3.4185,7.0795,0,False
red_median,Time-Domain Statistics,-0.04,0.1082,-0.2867,0.2198,0,False
red_q25,Time-Domain Statistics,-0.7885,0.1029,-0.9428,-0.4959,0,False
red_q75,Time-Domain Statistics,0.8004,0.0788,0.5307,0.9458,0,False
red_iqr,Time-Domain Statistics,1.589,0.1666,1.133,1.836,0,False
red_skewness,Time-Domain Statistics,0.0633,0.2722,-0.7018,0.6734,0,False
red_kurtosis,Time-Domain Statistics,-0.7934,0.5873,-1.276,1.9607,0,False
red_zero_crossing_rate,Time-Domain Statistics,0.1126,0.0198,0.0726,0.1694,0,False
ir_mean,Time-Domain Statistics,0.0,0.0,-0.0,-0.0,0,True
ir_std,Time-Domain Statistics,1.0,0.0,1.0,1.0,0,True
ir_var,Time-Domain Statistics,1.0,0.0,1.0,1.0,0,True
ir_rms,Time-Domain Statistics,1.0,0.0,1.0,1.0,0,True
ir_min,Time-Domain Statistics,-2.1121,0.4234,-3.5173,-1.4743,0,False
ir_max,Time-Domain Statistics,2.2354,0.4763,1.6102,4.127,0,False
ir_range,Time-Domain Statistics,4.3475,0.7436,3.4914,7.3548,0,False
ir_median,Time-Domain Statistics,-0.0406,0.1202,-0.3259,0.208,0,False
ir_q25,Time-Domain Statistics,-0.7867,0.1001,-0.9357,-0.4493,0,False
ir_q75,Time-Domain Statistics,0.7833,0.0859,0.4419,0.9096,0,False
ir_iqr,Time-Domain Statistics,1.57,0.1722,0.8912,1.8147,0,False
ir_skewness,Time-Domain Statistics,0.0605,0.2879,-0.6882,0.6805,0,False
ir_kurtosis,Time-Domain Statistics,-0.7094,0.6875,-1.2812,2.8024,0,False
ir_zero_crossing_rate,Time-Domain Statistics,0.1124,0.02,0.0726,0.1694,0,False
red_n_pulses,Pulse Morphology,13.4706,2.4463,9.0,21.0,0,False
red_mean_pulse_interval_sec,Pulse Morphology,0.7466,0.1328,0.468,1.085,0,False
red_pulse_rate_bpm,Pulse Morphology,82.8869,14.7609,55.3,128.21,0,False
red_pulse_amplitude_mean,Pulse Morphology,1.5538,0.1528,1.1743,1.9105,0,False
red_pulse_amplitude_std,Pulse Morphology,0.323,0.2092,0.0767,1.0687,0,False
red_pulse_interval_std,Pulse Morphology,0.0542,0.078,0.014,0.4427,0,False
ir_n_pulses,Pulse Morphology,13.4559,2.4338,8.0,21.0,0,False
ir_mean_pulse_interval_sec,Pulse Morphology,0.7472,0.1365,0.468,1.2571,0,False
ir_pulse_rate_bpm,Pulse Morphology,82.8212,14.5235,47.73,128.21,0,False
ir_pulse_amplitude_mean,Pulse Morphology,1.5312,0.1636,1.1589,1.889,0,False
ir_pulse_amplitude_std,Pulse Morphology,0.3613,0.2231,0.0927,1.2088,0,False
ir_pulse_interval_std,Pulse Morphology,0.063,0.0821,0.0169,0.4658,0,False
red_fft_dominant_freq_hz,Frequency-Domain (FFT),1.3566,0.2803,0.602,2.108,0,False
